n_windows,n_pos,pos_rate,roc_auc,pr_auc,n_calib,win_seconds,resolvable@fa1,recall@fa1,precision@fa1,fpr@fa1,thr@fa1,fa_per_hour@fa1,recall[diagnostic]@fa1,recall[dos]@fa1,recall[fuzzing]@fa1,recall[replay]@fa1,recall[suspension]@fa1,event_recall@fa1,event_recall[diagnostic]@fa1,event_recall[dos]@fa1,event_recall[fuzzing]@fa1,event_recall[replay]@fa1,event_recall[suspension]@fa1,resolvable@fa10,recall@fa10,precision@fa10,fpr@fa10,thr@fa10,fa_per_hour@fa10,recall[diagnostic]@fa10,recall[dos]@fa10,recall[fuzzing]@fa10,recall[replay]@fa10,recall[suspension]@fa10,event_recall@fa10,event_recall[diagnostic]@fa10,event_recall[dos]@fa10,event_recall[fuzzing]@fa10,event_recall[replay]@fa10,event_recall[suspension]@fa10,resolvable@fa100,recall@fa100,precision@fa100,fpr@fa100,thr@fa100,fa_per_hour@fa100,recall[diagnostic]@fa100,recall[dos]@fa100,recall[fuzzing]@fa100,recall[replay]@fa100,recall[suspension]@fa100,event_recall@fa100,event_recall[diagnostic]@fa100,event_recall[dos]@fa100,event_recall[fuzzing]@fa100,event_recall[replay]@fa100,event_recall[suspension]@fa100,resolvable@fpr0.001,recall@fpr0.001,precision@fpr0.001,fpr@fpr0.001,thr@fpr0.001,fa_per_hour@fpr0.001,recall[diagnostic]@fpr0.001,recall[dos]@fpr0.001,recall[fuzzing]@fpr0.001,recall[replay]@fpr0.001,recall[suspension]@fpr0.001,event_recall@fpr0.001,event_recall[diagnostic]@fpr0.001,event_recall[dos]@fpr0.001,event_recall[fuzzing]@fpr0.001,event_recall[replay]@fpr0.001,event_recall[suspension]@fpr0.001,resolvable@fpr0.01,recall@fpr0.01,precision@fpr0.01,fpr@fpr0.01,thr@fpr0.01,fa_per_hour@fpr0.01,recall[diagnostic]@fpr0.01,recall[dos]@fpr0.01,recall[fuzzing]@fpr0.01,recall[replay]@fpr0.01,recall[suspension]@fpr0.01,event_recall@fpr0.01,event_recall[diagnostic]@fpr0.01,event_recall[dos]@fpr0.01,event_recall[fuzzing]@fpr0.01,event_recall[replay]@fpr0.01,event_recall[suspension]@fpr0.01,protocol,fold,test_domain,feature_set,model,scope,fit_s,score_s,n_train,n_train_pos,dim
29734,475,0.015974978139503597,0.15098774825919511,0.016808087113313108,29263,0.03288579995682486,False,0.004210526315789474,1.0,0.0,15.819180598827218,0.0,0.0,0.003194888178913738,0.0,0.0,0.006711409395973154,0.3333333333333333,0.0,1.0,0.0,0.0,1.0,True,0.004210526315789474,1.0,0.0,15.819180598827218,0.0,0.0,0.003194888178913738,0.0,0.0,0.006711409395973154,0.3333333333333333,0.0,1.0,0.0,0.0,1.0,True,0.004210526315789474,0.15384615384615385,0.00037595269831504835,9.18244383513549,41.15544446876968,0.0,0.003194888178913738,0.0,0.0,0.006711409395973154,0.3333333333333333,0.0,1.0,0.0,0.0,1.0,True,0.004210526315789474,0.14285714285714285,0.00041013021634368914,8.867445452973797,44.896848511385116,0.0,0.003194888178913738,0.0,0.0,0.006711409395973154,0.3333333333333333,0.0,1.0,0.0,0.0,1.0,True,0.008421052631578947,0.018604651162790697,0.0072114563040432,6.843499416601545,789.4362529918548,0.0,0.003194888178913738,0.0,0.0,0.020134228187919462,0.3333333333333333,0.0,1.0,0.0,0.0,1.0,in_domain,0,CIDv2_OpelAstra,FS-B,Rule:Periodicity,fleet,0.0,0.0,59003,477,40
29734,475,0.015974978139503597,0.8400000000000001,0.6851119930046412,29263,0.03288579995682486,False,0.68,1.0,0.0,5e-324,0.0,1.0,1.0,0.7142857142857143,0.0,0.0,0.5,1.0,1.0,0.5,0.0,0.0,True,0.68,1.0,0.0,5e-324,0.0,1.0,1.0,0.7142857142857143,0.0,0.0,0.5,1.0,1.0,0.5,0.0,0.0,True,0.68,1.0,0.0,5e-324,0.0,1.0,1.0,0.7142857142857143,0.0,0.0,0.5,1.0,1.0,0.5,0.0,0.0,True,0.68,1.0,0.0,5e-324,0.0,1.0,1.0,0.7142857142857143,0.0,0.0,0.5,1.0,1.0,0.5,0.0,0.0,True,0.68,1.0,0.0,5e-324,0.0,1.0,1.0,0.7142857142857143,0.0,0.0,0.5,1.0,1.0,0.5,0.0,0.0,in_domain,0,CIDv2_OpelAstra,FS-B,Rule:UnseenID,fleet,0.0,0.0,59003,477,40
29734,475,0.015974978139503597,0.8131265413610926,0.6713792846033361,29263,0.03288579995682486,False,0.6568421052631579,0.96,0.0004443077343723299,2.097179362263423,48.63825255400054,0.0,0.9968051118210862,0.0,0.0,0.0,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,True,0.6568421052631579,0.9483282674772037,0.000581017806486893,2.012011287698431,63.60386872446224,0.0,0.9968051118210862,0.0,0.0,0.0,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,True,0.6568421052631579,0.7393364928909952,0.0037595269831504838,1.857489682050905,411.5544446876969,0.0,0.9968051118210862,0.0,0.0,0.0,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,True,0.6568421052631579,0.7323943661971831,0.0038962370552650468,1.8445599360241196,426.5200608581585,0.0,0.9968051118210862,0.0,0.0,0.0,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,True,0.6568421052631579,0.42391304347826086,0.014491267644143681,1.548384700940335,1586.3553140689405,0.0,0.9968051118210862,0.0,0.0,0.0,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,in_domain,0,CIDv2_OpelAstra,FS-B,Rule:BusLoad,fleet,0.0,0.0,59003,477,40
29734,475,0.015974978139503597,0.8510348053050703,0.6851010649961754,29263,0.03288579995682486,False,0.6589473684210526,0.9720496894409938,0.00030759766225776686,1.6225564139229913,33.67263638353883,0.0,1.0,0.0,0.0,0.0,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,True,0.6589473684210526,0.9720496894409938,0.00030759766225776686,1.622556413922991,33.67263638353883,0.0,1.0,0.0,0.0,0.0,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,True,0.6589473684210526,0.9287833827893175,0.0008202604326873783,1.4446847098214286,89.79369702277023,0.0,1.0,0.0,0.0,0.0,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,True,0.6589473684210526,0.884180790960452,0.0014012782391742713,1.425779070172991,153.39756574723248,0.0,1.0,0.0,0.0,0.0,0.16666666666666666,0.0,1.0,0.0,0.0,0.0,True,0.6673684210526316,0.5650623885918004,0.008339314398988346,1.1778738839285714,912.902586398164,0.0,1.0,0.0,0.0,0.026845637583892617,0.3333333333333333,0.0,1.0,0.0,0.0,1.0,in_domain,0,CIDv2_OpelAstra,FS-B,Rule:IDEntropy,fleet,0.0,0.0,59003,477,40
29734,475,0.015974978139503597,0.2761952147877127,0.016111439356767815,29263,0.03288579995682486,False,0.0,0.0,0.0,1.0833333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0,1.0833333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.00013671007211456303,1.0,14.965616170461702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.00013671007211456303,1.0,14.965616170461702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,0.0,0.0,0.0012303906490310674,0.8541666666666666,134.69054553415532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,in_domain,0,CIDv2_OpelAstra,FS-B,Rule:Hamming,fleet,0.0,0.0,59003,477,40
29734,475,0.015974978139503597,0.9840936032277967,0.9723211177101091,29263,0.03288579995682486,False,0.9705263157894737,1.0,0.0,55.17653212153687,0.0,0.0,1.0,0.0,0.0,0.9932885906040269,0.3333333333333333,0.0,1.0,0.0,0.0,1.0,True,0.9705263157894737,1.0,0.0,55.176532121536866,0.0,0.0,1.0,0.0,0.0,0.9932885906040269,0.3333333333333333,0.0,1.0,0.0,0.0,1.0,True,0.9705263157894737,0.9766949152542372,0.00037595269831504835,27.37754029150321,41.15544446876968,0.0,1.0,0.0,0.0,0.9932885906040269,0.3333333333333333,0.0,1.0,0.0,0.0,1.0,True,0.9705263157894737,0.9746300211416491,0.00041013021634368914,27.345631559327924,44.896848511385116,0.0,1.0,0.0,0.0,0.9932885906040269,0.3333333333333333,0.0,1.0,0.0,0.0,1.0,True,0.9705263157894737,0.6932330827067669,0.006972213677842715,12.607350781804394,763.2464246935468,0.0,1.0,0.0,0.0,0.9932885906040269,0.3333333333333333,0.0,1.0,0.0,0.0,1.0,in_domain,0,CIDv2_OpelAstra,FS-B,Rule:Staleness,fleet,0.0,0.0,59003,477,40
29734,475,0.015974978139503597,0.9941571913994974,0.8076468752167493,29263,0.03288579995682486,False,0.6610526315789473,1.0,0.0,93750.00000000001,0.0,0.0,1.0,0.0,1.0,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,True,0.6610526315789473,1.0,0.0,93750.00000000001,0.0,0.0,1.0,0.0,1.0,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,True,0.6631578947368421,0.9782608695652174,0.00023924262620048532,46875.0,26.18982829830798,0.0,1.0,0.14285714285714285,1.0,0.0,0.5,0.0,1.0,0.5,1.0,0.0,True,0.6631578947368421,0.9782608695652174,0.00023924262620048532,46875.0,26.18982829830798,0.0,1.0,0.14285714285714285,1.0,0.0,0.5,0.0,1.0,0.5,1.0,0.0,True,0.6631578947368421,0.9782608695652174,0.00023924262620048532,46875.0,26.18982829830798,0.0,1.0,0.14285714285714285,1.0,0.0,0.5,0.0,1.0,0.5,1.0,0.0,in_domain,0,CIDv2_OpelAstra,FS-B,Rule:Combined,fleet,0.0,0.0,59003,477,40
29734,475,0.015974978139503597,0.9987937854479323,0.9870781261203898,29263,0.03288579995682486,False,0.6610526315789473,1.0,0.0,42.96657468918916,0.0,0.0,1.0,0.0,1.0,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,True,0.6610526315789473,1.0,0.0,42.96657468918916,0.0,0.0,1.0,0.0,1.0,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.0,True,0.9873684210526316,0.9650205761316872,0.000581017806486893,11.007396759730106,63.60386872446224,1.0,1.0,1.0,1.0,0.959731543624161,1.0,1.0,1.0,1.0,1.0,1.0,True,0.9873684210526316,0.9650205761316872,0.000581017806486893,11.007396759730106,63.60386872446224,1.0,1.0,1.0,1.0,0.959731543624161,1.0,1.0,1.0,1.0,1.0,1.0,True,0.9873684210526316,0.9650205761316872,0.000581017806486893,11.007396759730106,63.60386872446224,1.0,1.0,1.0,1.0,0.959731543624161,1.0,1.0,1.0,1.0,1.0,1.0,in_domain,0,CIDv2_OpelAstra,FS-B,Rule:CombinedQ,fleet,0.0,0.0,59003,477,40
29734,475,0.0159749781395035,0.9488476959855808,0.7046773562422144,29263,0.0328857999568248,False,0.6589473684210526,0.9968152866242038,3.417751802864076e-05,0.7003087127684299,3.7414040426154256,0.0,1.0,0.0,0.0,0.0,0.1666666666666666,0.0,1.0,0.0,0.0,0.0,True,0.6589473684210526,0.9968152866242038,3.417751802864076e-05,0.7003087127684298,3.7414040426154256,0.0,1.0,0.0,0.0,0.0,0.1666666666666666,0.0,1.0,0.0,0.0,0.0,True,0.6631578947368421,0.9210526315789472,0.0009227929867733,0.5956332034345763,101.0179091506165,0.0,1.0,0.0,1.0,0.0067114093959731,0.5,0.0,1.0,0.0,1.0,1.0,True,0.6631578947368421,0.9210526315789472,0.0009227929867733,0.5939702463125678,101.0179091506165,0.0,1.0,0.0,1.0,0.0067114093959731,0.5,0.0,1.0,0.0,1.0,1.0,True,0.671578947368421,0.4656934306569343,0.0125089715984825,0.5098471782389095,1369.3538795972456,0.0,1.0,0.0,1.0,0.0335570469798657,0.5,0.0,1.0,0.0,1.0,1.0,in_domain,0,CIDv2_OpelAstra,FS-B,IForest,fleet,1.3,1.4,59003,477,40
29734,475,0.0159749781395035,0.9957856601927252,0.9956331707047976,29263,0.0328857999568248,False,0.9852631578947368,1.0,0.0,0.9342997074127198,0.0,0.0,0.9968051118210862,1.0,1.0,0.9932885906040269,0.8333333333333334,0.0,1.0,1.0,1.0,1.0,True,0.9852631578947368,1.0,0.0,0.9342997074127196,0.0,0.0,0.9968051118210862,1.0,1.0,0.9932885906040269,0.8333333333333334,0.0,1.0,1.0,1.0,1.0,True,0.9957894736842106,0.9311023622047244,0.0011962131310024,0.1354530304670334,130.94914149153988,1.0,0.9968051118210862,1.0,1.0,0.9932885906040269,1.0,1.0,1.0,1.0,1.0,1.0,True,0.9957894736842106,0.9292730844793712,0.001230390649031,0.1315948218107223,134.69054553415532,1.0,0.9968051118210862,1.0,1.0,0.9932885906040269,1.0,1.0,1.0,1.0,1.0,1.0,True,0.9957894736842106,0.6728307254623044,0.0078608291465873,0.0513106919825077,860.522929801548,1.0,0.9968051118210862,1.0,1.0,0.9932885906040269,1.0,1.0,1.0,1.0,1.0,1.0,in_domain,0,CIDv2_OpelAstra,FS-B,LogReg,fleet,0.65,0.03,59003,477,40
